label,sentence
1,Its spirit of iconoclastic abandon  however canned  makes for unexpectedly giddy viewing
0,A kilted Jackson is an unsettling sight and indicative of his if you will outofkilter character who rambles aimlessly through illconceived action pieces
0,I didnt find much fascination in the swinging
0,This is no Waterboy
1,But the nerveraked acting the crackle of lines the impressive stagings of hardware make for some robust and scary entertainment
1,Babyfaced Renner is eerily convincing as this bland blank of a man with unimaginable demons within
1,The kind of primal storytelling that George Lucas can only dream of
1,Uplifting as only a document of the worst possibilities of mankind can be and among the best films of the year
0,The Irwins scenes are fascinating the movie as a whole is cheap junk and an insult to their deathdefying efforts
0,Its a frightful vanity film that no doubt pays off what debt Miramax felt they owed to Benigni
0,He seems to want both but succeeds in making neither
1,By turns fanciful grisly and engagingly quixotic
1,The rerelease of Ron Howards Apollo 13 in the IMAX format proves absolutely that really really really good things can come in enormous packages
0,Ive never seen a remake do anything as stomachturning as the way Adam Sandlers new movie rapes pillages and incinerates Frank Capras classic
1,Those who want to be jolted out of their gourd should drop everything and run to Ichi
1,Mr Deeds is as comedy goes very silly  and in the best way
1,This amiable picture talks tough but its all bluster  in the end its as sweet as Greenfingers 
1,MY LITTLE EYE is the best little horror movie Ive seen in years
0,The movie is a negligible work of manipulation an exploitation piece doing its usual worst to guilttrip parents
1,It may  work as a jaunt down memory lane for teens and young adults who grew up on televised ScoobyDoo shows or reruns
0,Suffers from a flat script and a low budget
0,The movie is well done but slow
0,The Master of Disguise is awful
1,The film is one of the years best
1,One of the years most weirdly engaging and unpredictable character pieces
0,The direction occasionally rises to the level of marginal competence but for most of the film it is hard to tell who is chasing who or why
0,The three leads produce adequate performances but whats missing from this material is any depth of feeling
0,Looking For Leonard just seems to kinda sit in neutral hoping for a stiff wind to blow it uphill or something
0,The most surprising thing about this film is that they are actually releasing it into theaters
0,one resurrection too many
1,Oh look at that clever angle
0,No I hate it
1,For a long time the film succeeds with its dark delicate treatment of these characters and its unerring respect for them
1,The casting of Raymond J Barry as the assassin greatly enhances the quality of Neil Burgers impressive fake documentary
0,The film is like sitting in a downtown caf overhearing a bunch of typical latetwentysomethings natter on about nothing and desperately wishing you could change tables
1,The filmmakers want nothing else than to show us a good time and in their cheap B movie way they succeed
1,A rollicking ride with jawdropping action sequences striking villains a gorgeous color palette astounding technology stirring music and a boffo last hour that leads up to a strangely sinister happy ending
1,An hour and a half of joyful solo performance
0,Contrived pastiche of caper clichs
1,A triumph a film that hews out a world and carries us effortlessly from darkness to light
1,Steven Soderberghs digital video experiment is a clever and cutting quick and dirty look at modern living and movie life
1,Kinnears performance is a careerdefining revelation
1,Not only a reminder of how they used to make movies but also how they sometimes still can be made
1,The dragons are the real stars of Reign of Fire and you wont be disappointed
0,If youre over 25 have an IQ over 90 and have a drivers license you should be able to find better entertainment
1,For devotees of French cinema Safe Conduct is so rich with period minutiae its like dying and going to celluloid heaven
0,Scherfig who has had a successful career in TV tackles more than she can handle
0,This Sade is hardly a perverse dangerous libertine and agitator  which would have made for better drama
1,By the end of the movie youre definitely convinced that these women are spectacular
0,a plotline thats as lumpy as twoday old porridgethe filmmakers paws sad to say were all over this unbearable project
0,The modernday royals have nothing on these guys when it comes to scandals
0,essentially Fatal Attraction remade for viewers who were in diapers when the original was released in 1987
0,It doesnt really know or care about the characters and uses them as markers for a series of preordained events
0,Opening up the play more has partly closed it down
1,Even though its common knowledge that Park and his founding partner Yong Kang lost Kozmo in the end you cant help but get caught up in the thrill of the companys astonishing growth
0,Lots of effort and intelligence are on display but in execution it is all awkward static and lifeless rumblings
1,Every moment crackles with tension and by the end of the flick youre on the edge of your seat
1,The IMAX screen enhances the personal touch of manual animation
0,Coal isnt as easy to come by as it used to be and this would be a worthy substitute for naughty childrens stockings
0,As pedestrian as they come
0,Why you may ask why should you buy the movie milk when the TV cow is free
0,Sunk by way too much indulgence of scenechewing teethgnashing actorliness
1,Thats fun for kids of any age
1,Raimi and his team couldnt have done any better in bringing the story of SpiderMan to the big screen
1,A colorful joyous celebration of life a tapestry woven of romance dancing singing and unforgettable characters
1,A riproaring comedy action fest thatll put hairs on your chest
1,The premise of Jason X is silly but strangely believable
0,The modernday characters are nowhere near as vivid as the 19thcentury ones
0,Chelsea Walls is a case of too many chefs fussing over too weak a recipe
1,The cast  keeps this pretty watchable and casting Mick Jagger as director of the escort service was inspired
0,The kids just too bratty for sympathy and as the film grows to its finale his little changes ring hollow
1,Contradicts everything weve come to expect from movies nowadays
1,There is little question that this is a serious work by an important director who has something new to say about how in the flipflop of courtship we often reel in when we should be playing out
0,The script has less spice than a rat burger and The Rocks fighting skills are more in line with Steven Seagal
1,The solid filmmaking and convincing characters makes this a high water mark for this genre
1,The kind of movie that comes along only occasionally one so unconventional gutsy and perfectly executed it takes your breath away
1,With an admirably dark first script by Brent Hanley Paxton making his directorial feature debut does strong measured work
1,Funny somber absurd and finally achingly sad Bartleby is a fine understated piece of filmmaking
0,Every now and again a movie comes along to remind us of how very bad a motion picture can truly be
0,Unfortunately there is almost nothing in this flat effort that will amuse or entertain them either
1,Schrader examines Cranes decline with unblinking candor
1,That the egraveyard holds as many good ideas as bad is the cold comfort that Chins film serves up with style and empathy
1,You wouldnt want to live waydowntown but it is a hilarious place to visit
1,The Bai brothers have taken an small slice of history and opened it up for all of us to understand and theyve told a nice little story in the process
0,Theres not one decent performance from the cast and not one clever line of dialogue
0,Translation We dont need to try very hard
1,Return to Never Land is reliable standard Disney animated fare with enough creative energy and wit to entertain all ages
0,It sticks rigidly to the paradigm rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived wellworn situations
1,Caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose
1,A captivating and intimate study about dying and loving
0,Oversexed at times overwrought comedydrama that offers little insight into the experience of being forty female and single
1,The world needs more filmmakers with passionate enthusiasms like Martin Scorsese
0,The director seems to take an unseemly pleasure in the characters misery and at the same time to congratulate himself for having the guts to confront it
1,The history is fascinating the action is dazzling
1,The unexpected thing is that its dying in this shower of blackandwhite psychedelia is quite beautiful
0,I also believe that Resident Evil is not it
1,Offers a cleareyed chronicle of a female friendship that is more complex and honest than anything represented in a Hollywood film
1,Meeting even exceeding expectations its the best sequel since The Empire Strikes Back  a majestic achievement an epic of astonishing grandeur and surprising emotional depth
1,While general audiences might not come away with a greater knowledge of the facts of Cuban music theyll be treated to an impressive and highly entertaining celebration of its sounds
1,Not only better than its predecessor it may rate as the most magical and most fun family fare of this or any recent holiday season
0,may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence
0,Death to Smoochy tells a moldyoldie notnearly asnasty asit thinksitis joke
1,Spielbergs picture is smarter and subtler than Total Recall and Blade Runner although its plot may prove too convoluted for funseeking summer audiences
0,Harts War seems to want to be a character study but apparently cant quite decide which character
1,Smaller numbered kidlets will enjoy
0,Offers no new insight on the matter nor do its characters exactly spring to life
0,Im convinced I could keep a family of five blind crippled Amish people alive in this situation better than these British soldiers do at keeping themselves kicking
0,The connected stories of Breitbart and Hanussen are actually fascinating but the filmmaking in Invincible is such that the movie does not do them justice
1,The characters are more deeply thought through than in most rightthinking films
1,These characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field and Im all for that
0,With a completely predictable plot youll swear that youve seen it all before even if youve never come within a mile of The Longest Yard
0,The jokes are sophomoric stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious
1,Chos latest comic set isnt as sharp or as fresh as Im the One That I Want but its still damn funny stuff
1,Much has been written about those years when the psychedelic 60s grooved over into the gay 70s but words dont really do the era justice
1,One of the best looking and stylish animated movies in quite a while 
1,Light the candles bring out the cake and dont fret about the calories because theres precious little substance in Birthday Girl  its simply and surprisingly a nice light treat
1,Its good hardedged stuff violent and a bit exploitative but also nicely done morally alert and streetsmart
0,Sayles  once again strands his superb performers in the same old story
0,High Crimes carries almost no organic intrigue as a government Marinelegal mystery and thats because the movie serves up all of that stuff nearly subliminally as the oldhat province of male intrigue
1,Nicole Kidman makes it a party worth attending
1,Bogdanovich puts history in perspective and via Kirsten Dunsts remarkable performance he showcases Davies as a young woman of great charm generosity and diplomacy
1,The gentle comic treatment of adolescent sturm und drang should please fans of Chris Fuhrmans posthumously published cult novel
0,Shatner is probably the funniest person in the film which gives you an idea just how bad it was
0,This is a fragmented film once a good idea that was followed by the bad idea to turn it into a movie
0,Theres some outrageously creative action in The Transporter  but by the time Frank parachutes down onto a moving truck its just another cartoon with an unstoppable superman
1,For those of an indulgent slightly sunbaked and summery mind Sex and Lucia may well prove diverting enough
1,It might be easier to watch on video at home but that shouldnt stop diehard French film connoisseurs from going out and enjoying the bigscreen experience
1,Reno delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a wellbalanced fashion
1,Rich in atmosphere of the postwar art world it manages to instruct without reeking of research library dust
1,More good than great but Freeman and Judd make it work
1,Its nice to see Piscopo again after all these years and Chaykin and Headly are priceless
1,Never Again while nothing special is pleasant diverting and modest  definitely a step in the right direction
0,If The Last Man were the last movie left on earth there would be a tossup between presiding over the end of cinema as we know it and another night of delightful hand shadows
1,She is a lioness protecting her cub and he a reluctant villain incapable of controlling his crew
1,This is an interesting movie
0,Its simply stupid irrelevant and deeply truly bottomlessly cynical
0,The movie is almost completely lacking in suspense surprise and consistent emotional conviction
0,The characters are so generic and the plot so bland that even as rogue CIA assassins working for Chris Coopers agency boss close in on the resourceful amnesiac we dont feel much for DamonBourne or his predicament
0,Like a can of 2day old Coke
1,This masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short
0,Yes I suppose its lovely that Cal works out his issues with his dad and comes to terms with his pictureperfect life  but World Traveler gave me no reason to care so I didnt
0,That the film opens with maggots crawling on a dead dog is not an out of place metaphor
1,If the plot seems a bit on the skinny side thats because Panic Room is interested in nothing more than sucking you inand making you sweat
1,Drumline ably captures the complicated relationships in a marching band
1,The entire cast is firstrate especially Sorvino
0,Its a drag how Nettelbeck sees working women  or at least this working woman  for whom she shows little understanding
0,Nothing about this movie works
1,A solidly entertaining little film
1,Safe Conduct is a long movie at 163 minutes but it fills the time with drama romance tragedy bravery political intrigue partisans and sabotage
1,Although mainstream American movies tend to exploit the familiar every once in a while a film arrives from the margin that gives viewers a chance to learn to grow to travel
0,A hit andmiss affair consistently amusing but not as outrageous or funny as Cho may have intended or as imaginative as one might have hoped
1,This is an exercise in chilling style and Twohy films the sub inside and out with an eye on preserving a sense of mystery
0,Hey everybody wanna watch a movie in which a guy dressed as a childrens party clown gets violently gangraped
1,It makes compelling provocative and prescient viewing
1,A flawed but engrossing thriller
0,Never comes together as a coherent whole
0,A decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies
1,What sets Ms Birots film apart from others in the genre is a greater attention to the parents  and particularly the fateful fathers  in the emotional evolution of the two bewitched adolescents
0,Like most of Jagloms films some of it is honestly affecting but more of it seems contrived and secondhand
1,Its a wise and powerful tale of race and culture forcefully told with superb performances throughout
1,One of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm
0,Not only are the films Sopranos gags incredibly dated and unfunny they also demonstrate how desperate the makers of this were doingitfor thecash sequel were
0,I have to admit that I am baffled by Jason X
1,The film gets close to the chimps the same way Goodall did with a serious minded patience respect and affection
0,A ripoff twice removed modeled after Seagals earlier copycat Under Siege sometimes referred to as Die Hard on a boat
1,Ms Seigner and Mr Serrault bring fresh unforced naturalism to their characters
0,Thats muy loco but no more ridiculous than most of the rest of Dragonfly
0,But the movie that doesnt really deliver for country music fans or for family audiences
1,If you answered yes by all means enjoy The New Guy
1,Generates an enormous feeling of empathy for its characters
1,The lowkey direction is pleasingly emphatic in this properly intense claustrophobic tale of obsessive love
1,Those prone to indignation need not apply those susceptible to blue hilarity step right up
1,An intriguing look at the French film industry during the German occupation its most delightful moments come when various characters express their quirky inner selves
1,would make an excellent companion piece to the similarly themed The French Lieutenants Woman
1,If you like quirky odd movies andor the ironic heres a fun one
0,No French people were harmed during the making of this movie but they were insulted and the audience was put through torture for an hour and a half
1,Woody Allen can write and deliver a one liner as well as anybody
1,The most consistently funny of the Austin Powers films
1,Its both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue only to be revealed by the dispassionate Gantz brothers as ordinary pasty lumpen
1,Paid in Full is remarkably engaging despite being noticeably derivative of Goodfellas and at least a half dozen other troubleintheghetto flicks
0,The plot has a number of holes and at times its simply baffling
0,The redeeming feature of Chans films has always been the action but the stunts in The Tuxedo seem tired and whats worse routine
0,Amazingly lame
0,Not even Felinni would know what to make of this Italian freakshow
1,Garca Bernal and Talancn are an immensely appealing couple and even though their story is predictable youll want things to work out
1,#VALUE!
1,finely crafted finely written exquisitely performed
0,Parker cannot sustain the buoyant energy level of the films city beginnings into its country conclusion
1,The story is a rather simplistic one grief drives her love drives him and a second chance to find love in the most unlikely place  it struck a chord in me
0,A cockeyed shot all the way
0,Clare Peploes airless movie adaptation could use a little American Pielike irreverence
0,A woefully dull redundant concept that bears more than a whiff of exploitation despite Iwais vaunted empathy
1,A cutesy romantic tale with a twist
0,About one in three gags in Whites intermittently wise script hits its mark the rest are padding unashamedly appropriated from the teenexploitation playbook
0,It plods along methodically somehow under the assumption that its dead wife communicating from beyond the grave framework is even remotely new or interesting
1,Give credit to everyone from Robinson down to the key grip that this bold move works
0,Enough said except Film overboard
1,A suffocating rapepayback horror show that hinges on the subgenres most enabling victim  and an ebullient affection for industrialmodel meat freezers
1,While we no longer possess the lackofattention span that we did at seventeen we had no trouble sitting for Blade II
0,A collage of clichs and a dim echo of allusions to other films
1,Combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural  why didnt Hollywood think of this sooner
0,If Damon and Affleck attempt another Project Greenlight next time out they might try paying less attention to the miniseries and more attention to the film it is about
0,The screenplay by James Eric James Horton and director Peter OFallon  is so pat it makes your teeth hurt
0,Im giving it thumbs down due to the endlessly repetitive scenes of embarrassment
0,Not only does LeBlanc make one spectacularly uglylooking broad but he appears miserable throughout as he swaggers through his scenes
1,An elegant work Food of Love is as consistently engaging as it is revealing
1,The pain loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this selfdeprecating biting and witty feature written by Charlie Kaufman and his twin brother Donald and directed by Spike Jonze
0, a weak and ineffective ghost story without a conclusion or pay off
1,If youre a fan of the series youll love it and probably want to see it twice
0,The film never finds its tone and several scenes run too long
0,Suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as Dahmer demands
0,Its not a motion picture its an utterly static picture
0,Its probably not easy to make such a worthless film 
1,The film is bright and flashy in all the right ways
1,A brisk reverent and subtly different sequel
1,A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters
1,Does an impressive job of relating the complicated history of the war and of filling in the background
1,A fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system
0,A cautionary tale about the folly of superficiality that is itself endlessly superficial
0,Quitting however manages just to be depressing as the lead actor phones in his autobiographical performance
0,I did go back and check out the last 10 minutes but these were more repulsive than the first 30 or 40 minutes
0,In the end the movie bogs down in insignificance saying nothing about Kennedys assassination and revealing nothing about the pathology it pretends to investigate
1,its refreshing to see a movie that embraces its oldfashioned themes and in the process comes out looking like something wholly original
1,It must be the end of the world the best film so far this year is a franchise sequel starring Wesley Snipes
1,Boomers and their kids will have a Barrie good time
1,Wow
0,If Disneys Cinderella proved that a dream is a wish your heart makes then Cinderella II proves that a nightmare is a wish a studios wallet makes
0,Been there done that a thousand times already and better
0,An infuriating film
1,A film with a great premise but only a great premise
0,Seagal ran out of movies years ago and this is just the proof
0,A backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship
0,The fetid underbelly of fame has never looked uglier
1,By halfway through this picture I was beginning to hate it and of course feeling guilty for it Then miracle of miracles the movie does a flipflop
0,Soulless and  even more damning  virtually joyless XXX achieves near virtuosity in its crapulence
1,What the movie lacks in action it more than makes up for in drama suspense revenge and romance
1,Sweet Home Alabama isnt going to win any Academy Awards but this datenight diversion will definitely win some hearts
1,Its a satisfying summer blockbuster and worth a look
0,A partyhearty teen flick that scalds like acid
1,The movie is  very funny as you peek at it through the fingers in front of your eyes
0,While the story is betterfocused than the incomprehensible Anne Rice novel its based upon Queen Of The Damned is a pointless meandering celebration of the gothvampire tortured woeisme lifestyle
1,Originality aint on the menu but theres never a dull moment in the giant spider invasion comic chiller
0,Like Mike is a slight and uninventive movie Like the exalted Michael Jordan referred to in the title many can aspire but none can equal
1,The cast collectively a successful example of the lovableloser protagonist shows deft comic timing
1,A grittily beautiful film that looks sounds and feels more like an extended openended poem than a traditionally structured story
1,Strangely comes off as a kingdom more mild than wild
0,A few hours after youve seen it you forget youve been to the movies
0,Yet its not quite the genrebusting film its been hyped to be because it plays everything too safe
0,The biggest problem with Roger Avarys uproar against the MPAA is that even in all its directors cut glory hes made a film thats barely shocking barely interesting and most of all barely anything
1,Peralta captures in luminous interviews and amazingly evocative film from three decades ago the essence of the Dogtown experience
1,Manages to accomplish what few sequels can  it equals the original and in some ways even betters it
0,The end result is like cold porridge with only the odd enjoyably chewy lump
0,It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as theres a little girlongirl action
1,Despite a quieter middle section involving Aragorns dreams of Arwen this is even better than The Fellowship
0,That such a horrible movie could have sprung from such a great one is one of the years worst cinematic tragedies
1,A fleetfooted and pleasingly upbeat family diversion
1,Australian filmmaker David Flatman uses the hugescreen format to make an oldfashioned nature film that educates viewers with words and pictures while entertaining them
1,Mr Deeds is suitable summer entertainment that offers escapism without requiring a great deal of thought
0,Lame Sweet Home leaves no Southern stereotype unturned
0,Rice is too pedestrian a filmmaker to bring any edge or personality to The Rising Place that would set it apart from other Deep South stories
0,Its always disappointing when a documentary fails to live up to  or offer any new insight into  its chosen topic
0,Yet another iteration of whats become one of the movies creepiest conventions in which the developmentally disabled are portrayed with almost supernatural powers to humble teach and ultimately redeem their mentally superior friends family
0,You may be galled that youve wasted nearly two hours of your own precious life with this silly little puddle of a movie
1,Mr Scorseses bravery and integrity in advancing this vision can hardly be underestimated
0,More intellectually scary than dramatically involving
0,The movie is like a year late for tapping into our reality tv obsession and even tardier for exploiting the novelty of the webcast
1,Fun and nimble
0,When the casting call for this movie went out it must have read seeking anyone with acting ambition but no sense of pride or shame
0,The movie is a desperate miscalculation
0,What theyre doing is a matter of plumbing arrangements and mind games of no erotic or sensuous charge
0,Plays like a glossy melodrama that occasionally verges on camp
0,What ultimately makes Windtalkers a disappointment is the superficial way it deals with its story
1,Polanski has found the perfect material with which to address his own World War II experience in his signature style
0,The main story  is compelling enough but its difficult to shrug off the annoyance of that chatty fish
1,The film boasts at least a few good ideas and features some decent performances but the result is disappointing
1,Its no surprise that as a director Washington demands and receives excellent performances from himself and from newcomer Derek Luke
1,If Mostly Martha is mostly unsurprising its still a sweet even delectable diversion
1,Topnotch action powers this romantic drama
1,Roman Polanskis autobiographical gesture at redemption is better than Shindlers List  it is more than merely a Holocaust movie
0,An admitted egomaniac Evans is no Hollywood villain and yet this grating showcase almost makes you wish hed gone the way of Don Simpson
1,Confessions may not be a straightforward bio nor does it offer much in the way of Barris motivations but the film is an oddly fascinating depiction of an architect of pop culture
0,The inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horroraction hybrid
1,Takes a simple premise and carries it to unexpected heights
0,Moore is like a progressive bull in a china shop a provocateur crashing into ideas and specialinterest groups as he slaps together his own brand of liberalism
1,The film reminds me of a vastly improved Germanic version of My Big Fat Greek Wedding  with better characters some genuine quirkiness and at least a measure of style
0,The star who helped give a spark to Chasing Amy and Changing Lanes falls flat as thinking man CIA agent Jack Ryan in this summers new action film The Sum of All Fears
1,A good film with a solid pedigree both in front of and more specifically behind the camera
1,A marvelous performance by Allison Lohman as an identityseeking foster child
0,A slowmoving policeprocedural thriller that takes its title all too literally
0,Since Dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer it misses a major opportunity to be truly revelatory about his psyche
1,Leigh isnt breaking new ground but he knows how a daily grind can kill love
0,The Master of Disguise represents Adam Sandlers latest attempt to dumb down the universe
0,I cant say this enough This movie is about an adult male dressed in pink jammies
0,A boldly stroked luridly coloured unidimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain
0,Once one experiences Mr Hanekes own sadistic tendencies toward his audience one is left with a sour taste in ones mouth and little else
1,With so many bad romances out there this is the kind of movie that deserves a chance to shine
1,About Schmidt is undoubtedly one of the finest films of the year
1,It doesnt reach them but the effort is gratefully received
1, I also wanted a little alien as a friend
1,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them
0,For this sort of thing to work we need agile performers but the proficient dull Sorvino has no light touch and Rodan is out of his league
